pagina,degree_centrality,closeness,betweenness,eigenvector_centrality,pagerank,in_degree,out_degree,degree_total
Ciência da Computação,0.030303030303030304,0.2913974848603824,0.0033141374063094396,0.005537199850225664,0.00202093146936202,11,1,12
Ciência da computação,1.2904040404040404,0.44495767022745447,0.3266615261157881,0.11370303476152598,0.0105932581213057,116,395,511
0 (número),0.04040404040404041,0.28534771008819454,0.0,0.0027157487608184335,0.0006110845944428835,1,15,16
2300 a.C.,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
2700 a.C.,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
ALGOL 60,0.05555555555555556,0.29557522657881086,0.00022955507911842884,0.005616090219175584,0.0009591995898802291,8,14,22
Acessibilidade,0.025252525252525256,0.2977093437382246,1.3560036296617297e-05,0.004533383143874064,0.0006521859948501435,6,4,10
Actas (reunião académica),0.022727272727272728,0.2856772109081578,0.0,0.0027157487608184335,0.0006110845944428835,1,8,9
Ada (linguagem de programação),0.11363636363636365,0.31676884077652323,0.0006417643657285798,0.01197790710048489,0.00148668296260458,15,30,45
Ada Lovelace,0.2878787878787879,0.38356041030459637,0.0010565898094696542,0.10892800614993409,0.0026505864005508147,49,65,114
Administração,0.13636363636363638,0.35596613618196354,0.0008573178029764122,0.05471461838024675,0.0025306496857072517,41,13,54
Agile software development,0.09090909090909091,0.3365938294509723,0.0,0.049406662965411435,0.001436377252550679,35,1,36
Al-Khwarizmi,0.007575757575757576,0.3070034500367423,0.0,0.008299802451363823,0.0006841533274879205,3,0,3
Alan Kay,0.20202020202020204,0.3817846676642973,0.0033179041300157625,0.11218943794312687,0.002701094498488588,54,26,80
Alan Turing,0.39141414141414144,0.39902655588139463,0.015920225180241342,0.1185092516590121,0.004495803135883555,69,86,155
Alemanha nazista,0.010101010101010102,0.30512230144583086,0.0,0.003863680927229836,0.0014097513931664995,4,0,4
Algoritmo,0.4368686868686869,0.4193160417736689,0.023344768504134153,0.12717382484597378,0.0056452733853766274,88,85,173
Alonzo Church,0.09090909090909091,0.3316306496601403,0.00041404038472434224,0.015755797635317058,0.0018158011009146993,16,20,36
Andrew Stuart Tanenbaum,0.03282828282828283,0.2893525902297832,0.0002005212862643204,0.0029632114812004353,0.0006825399877432485,2,11,13
Anexo:Lista de termos de computação,0.01767676767676768,0.2977093437382246,0.0,0.004533383143874064,0.0006521859948501435,6,1,7
Animação digital,0.022727272727272728,0.3009689350930227,3.4871151096697702e-06,0.0051718777654349984,0.0008973118160574714,8,1,9
Análise de algoritmos,0.07828282828282829,0.32724400085511196,0.0013054693474280235,0.014473082132620326,0.0016440037233693375,19,12,31
Análise de negócios,0.0025252525252525255,0.28618367583884824,0.0,0.0027157487608184335,0.0006110845944428835,1,0,1
Análise de requerimento de software,0.10101010101010102,0.3448473656229889,0.0,0.05122429734846706,0.001477478652957939,40,0,40
Análise de sistemas,0.2828282828282829,0.34600904146358696,0.0027713776793363907,0.04989270376545396,0.0019740620065156426,38,74,112
Análise de sistemas e tecnologia da informação,0.020202020202020204,0.2924308092747809,1.2669306483827407e-05,0.004632542078940678,0.0007226991225065259,3,5,8
Análise estruturada,0.23484848484848486,0.3361365008783487,0.0002565828222315984,0.0482541334489962,0.0014159719447316933,34,59,93
Análise numérica,0.14393939393939395,0.3436062008978676,0.0036261206136454865,0.023000535081328162,0.002755432990237339,28,29,57
Análise sintática (computação),0.06313131313131314,0.3225508013643607,0.0006254014613425068,0.013526140882161187,0.0012482641843455347,14,11,25
Apple I,0.03282828282828283,0.3080902423990843,4.728621236766609e-05,0.006840119077659364,0.0009218435560795896,5,8,13
Apple Inc.,0.025252525252525256,0.3254637882088862,0.0,0.015319716651460903,0.0011501886245058781,10,0,10
Aprendizado de máquina,0.15656565656565657,0.3412365029606409,0.002214240850632732,0.01640316048613946,0.0016346585955666366,24,38,62
Areia,0.02777777777777778,0.2856772109081578,0.0,0.0027157487608184335,0.0006110845944428835,1,10,11
Arqueologia de software,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Arquitetura de computadores,0.0984848484848485,0.3412365029606409,0.0010170937639253704,0.023777815342858742,0.0023027431267330888,24,15,39
Arquitetura de software,0.23989898989898992,0.3361365008783487,7.822611060176861e-05,0.0482541334489962,0.0014166317729118613,34,61,95
Arquitetura de von Neumann,0.07070707070707072,0.3175821112278108,0.0003639003044133726,0.0179584218189642,0.0012526013577577636,11,17,28
Ashtadhyāyi,0.01767676767676768,0.29312377327780176,0.0007336609720138723,0.002909760224235991,0.0009133542603309151,3,4,7
Atanasoff–Berry Computer,0.05555555555555556,0.3100206323890535,0.00037353176863313584,0.011590647801283115,0.0012243186384140437,10,12,22
Autômato,0.2575757575757576,0.37314700549994667,0.0014103931749220805,0.10449077921042871,0.002392317025709064,43,59,102
Banco de dados,0.11616161616161617,0.3499242781421,0.004382918034434401,0.023726096102609857,0.003453323703011419,25,21,46
Banco de dados relacional,0.06060606060606061,0.3171749546749547,0.0003611587089969667,0.009405521216476441,0.0013604593562297268,13,11,24
Base de dados,0.01767676767676768,0.2980680296945357,0.0,0.004533383143874064,0.0006521859948501435,6,1,7
Biblioteca Nacional Central de Florença,0.148989898989899,0.392070466951608,0.0002797662611482295,0.05242897826846807,0.007270799603376823,51,8,59
Biblioteca Nacional da Espanha,0.1691919191919192,0.416492364724688,2.7032091384274142e-05,0.0761170311780183,0.010516434719512196,63,4,67
Biblioteca Nacional da França,0.27525252525252525,0.45477291295306,0.000928271939910144,0.11224664752055043,0.021121223366552134,102,7,109
Bill Gates,0.37878787878787884,0.32087738605248334,0.005410599118325737,0.015283572219924097,0.0012612971650689455,14,136,150
Bioinformática,0.3106060606060606,0.386556976010101,0.006768873754972251,0.11010019113985205,0.0028993363537377407,55,68,123
Bjarne Stroustrup,0.042929292929292935,0.3077070455801799,5.669466874838329e-05,0.007748120780475027,0.0008447253104852954,6,11,17
Blaise Pascal,0.06060606060606061,0.32724400085511196,0.00025341330982173074,0.012720862936952515,0.0011679979044739643,9,15,24
Brendan Eich,0.012626262626262628,0.2893525902297832,1.0655073946213187e-06,0.0031572072344132496,0.0006669150225811721,2,3,5
Brian Kernighan,0.045454545454545456,0.3073248008030617,4.8545289662628556e-05,0.008135107246095206,0.0009386555266790097,7,11,18
C++,0.18434343434343436,0.3564790556865485,0.0036768795016886204,0.030574413736802666,0.0022927322909668917,31,42,73
C (linguagem de programação),0.1792929292929293,0.354436195768574,0.004579413809496141,0.03174272550751836,0.0027732960900726375,34,37,71
Capability Maturity Model Integration,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Cartão perfurado,0.022727272727272728,0.3069435045241497,6.142477379725431e-05,0.010762758959539053,0.0009147476045269559,7,2,9
Charles Babbage,0.29292929292929293,0.38716191650463955,0.0018748328505130561,0.10983971275466153,0.0029187034568723754,51,65,116
Ciclo de vida de desenvolvimento de sistema,0.0883838383838384,0.3378287625234708,0.0,0.049406662965411435,0.001436377252550679,35,0,35
Cientista,0.1691919191919192,0.3782820560343496,0.001678783744582151,0.11260991882071504,0.002561226680207468,50,17,67
Circuito digital,0.04040404040404041,0.31316008183096794,0.00031615743709757197,0.008516948361946471,0.001508285407041234,6,10,16
Ciência,0.14646464646464646,0.36435414528198035,0.010085299991328426,0.026279253986040384,0.003573396269195762,20,38,58
Ciência cognitiva,0.05303030303030303,0.355454690584001,0.0014856603084377256,0.013714778954114326,0.0025449422366752104,16,5,21
Ciência da informação,0.06565656565656566,0.3455257886123808,0.006381791172995305,0.010651719200039763,0.013215075259538656,7,19,26
Claude Shannon,0.1287878787878788,0.3469796138099084,0.0014404829560795264,0.02658954687264155,0.0019232313705237233,19,32,51
Clifford Berry,0.025252525252525256,0.2893525902297832,0.0002765411164582724,0.004696877921948964,0.000779036517081123,4,6,10
